WARD_NO,WARD_NAME,latitude,longitude
628703,Padukapattu,8.6333,78.0167
628801,Eral,8.6333,78.0167
629001,Vadaserry,10.9667,78.5167
629002,Irulappapuram,10.9667,78.5167
629004,Nagercoil Ind Estate,10.9667,78.5167
629051,Edalakudi,10.9667,78.5167
629103,Alancholai,10.1167,77.9944
629152,Idaikode,10.1167,77.9944
629153,Kaliakkavilai,10.1167,77.9944
629159,Palapallam,10.1167,77.9944
629165,Nallur,11.2833,77.95
629167,Alagimandapuram,11.2833,77.95
629168,Gnanamvilai,11.2833,77.95
629172,S T Mangad,9.5333,78.0167
629175,Fort,10.8333,78.7
629178,Udayamarthandam,9.5333,78.0167
629179,Unnamalaikada,9.5333,78.0167
629188,Painkulam,10.1167,77.9944
629197,Irenipuram,10.1167,77.9944
629203,Friday Market,10.9667,78.5167
629253,Kadiyapattinam,10.9667,78.5167
629303,Ramapuram,13.5167,80.0833
629304,Chenbagaramanpudur,13.5167,80.0833
629501,Eathamozhi,10.9667,78.5167
629504,James Town,10.9667,78.5167
629664,Idaivchivalai,10.9667,78.5167
629701,Agasteeswaram,10.9667,78.5167
629704,Valakkamparai,10.9667,78.5167
629852,Bhoothapandy,10.9667,78.5167
629855,Kadukkarai,10.9667,78.5167
629902,Erachakulam,10.9667,78.5167
631001,Rajijinagar,12.8917,79.7583
631003,Jothinagar (Ark),12.8917,79.7583
631004,Ekhunagar,12.8917,79.7583
631057,Valaikulam,12.8917,79.7583
631060,Ichiputhur,12.8917,79.7583
631104,Jambukulam,13.0167,79.7333
631151,Takkolam,13.0167,79.7333
631203,Kadambathur,12.8917,79.7583
631205,K G Kandigai,12.8917,79.7583
631206,Madduru,12.8917,79.7583
631303,Ramakrishnarajupeta,12.8917,79.7583
631404,Ulandai,12.8917,79.7583
631502,Big Kanchipuram,12.8917,79.7583
631503,Little Kanchipuram,12.8917,79.7583
631551,Balchettichatram,12.8917,79.7583
631553,Edayarpakkam,12.8917,79.7583
631602,Damal,12.7667,79.7833
631605,Walajabad,12.7667,79.7833
631701,Akkur N A,12.8917,79.7583
632001,Old Town Vlr,12.8533,79.2267
632002,Bagayam,12.8533,79.2267
632004,Bakiyath,12.8533,79.2267
632006,Gandhi Nagar East,12.8533,79.2267
632012,Saidapet Vellore,12.8533,79.2267
632103,Odukkathur,12.8833,79.0667
632105,Ussoor,12.8833,79.0667
632106,S L R Sanitorium,12.8833,79.0667
632202,Latteri,12.9667,79.0667
632204,Vadugapatti (Ramnad),12.9667,79.0667
632301,Saidapettai Arni,12.7167,79.2
632315,Onnupuram,12.7167,79.2
632504,Damarapakkam,12.7667,79.4167
632505,Banavaram,12.7667,79.4167
632506,Kalavai,12.7667,79.4167
632511,Sakkaramallur,12.9333,79.3833
632513,Walajapet,12.9333,79.3833
632522,Ozhugur,12.85,79.4
632527,Chennasamudram,12.85,79.4
632601,Dharnampet,12.8533,79.2267
632604,Gandhi Nagar Gudiyatham,12.8533,79.2267
635001,Lakshmipuram Krp,12.5729,78.2729
635103,Bagalur,12.8333,77.8667
635104,Barugur,12.6944,77.8278
635105,Berigai,12.6944,77.8278
635106,Chaparthi,12.6944,77.8278
635107,Denkanikota,12.5333,77.8
635108,Elathagiri,12.6944,77.8278
635109,Hosur,12.7167,77.8167
635110,Hosur Cattle Farm,12.6944,77.8278
635115,Ramapuram,13.5167,80.0833
635119,Uddanpalli,12.6944,77.8278
635125,Hosur East,12.6944,77.8278
635126,Hosur Industrial Complex,12.6944,77.8278
635135,Jagadab,12.6944,77.8278
635141,Salivaram,12.6944,77.8278
635201,Barur,12.2667,78.55
635204,Nagarasampatti,12.2667,78.55
635207,Uttangarai,12.2667,78.55
635209,Saithur,12.2667,78.55
635210,Jagadevi,12.4833,78.3333
635301,Bommidi,12.5729,78.2729
635303,Kadathur,12.5729,78.2729
635306,Samalpatti R S,12.5729,78.2729
635655,Adiyur,12.5729,78.2729
635657,Jayapuram,12.5729,78.2729
635701,Alangayam,12.6,78.75
635703,Jamanamarathur,12.6,78.75
635804,Madanur,12.575,78.5333
635808,Oomarabad,12.575,78.5333
635812,Vadapudpet,12.575,78.5333
635851,Jolarpettai,12.5667,78.5833
635853,Pakkirthakka,12.575,78.5333
635854,Pachur,12.5833,78.4833
636001,Salem Fort,10.5667,79.7667
636004,Alagapuram,11.8833,78.9167
636006,Salem Pension Lines,11.225,79.3417
636007,Salen Dr Court Building,11.225,79.3417
636009,Leigh Bazaar,11.225,79.3417
636013,Salem Steel Plant,11.225,79.3417
636016,Fairlands,11.225,79.3417
636102,Udayarpalayam,11.4833,78.65
636104,Belur Salem,11.4833,78.65
636105,Gangavalli,11.4833,78.65
636112,Talaivasal,11.5833,78.7667
636117,Yethapur,11.5833,78.7667
636118,Ulipuram,11.5833,78.7667
636121,Vadachennimalai,11.5333,78.7083
636124,Kadambur (Salem),11.5333,78.7083
636139,Salem H O,11.5333,78.7083
636140,Odayapatti,11.5333,78.7083
636302,Jagir Ammapalayam,11.8667,78.15
636351,Kadyampatti,11.8667,78.15
636354,Danishpet,11.8667,78.15
636403,Ramannagar,11.7333,78.0667
636404,Gonur,11.7333,78.0667
636451,Chamarajpet,11.7333,78.0667
636452,Madayankuttai,11.7333,78.0667
636455,Omalur,11.7333,78.0667
636456,Salem Camp,11.7333,78.0667
636501,Jalakantapuram,11.7,77.8833
636601,Yercaud,11.7667,78.2333
636602,Ondikadai,11.7667,78.2333
636604,Nagalur-Salem,11.7667,78.2333
636701,Dharmapuri R S,11.7121,78.4682
636702,Dharmapuri Bazaar,11.7121,78.4682
636705,Dharmapuri Collectorate,11.7121,78.4682
636802,Hanumanthapuram,12.0833,78.2389
636803,Harur,12.0667,78.5
636804,Laligam,12.05,78.15
636807,Nallampalli,12.0833,78.2389
636808,Palacode,12.0833,78.2389
636813,Biliyanur Agraharam,12.0833,78.2389
636815,Nagamalai,12.0833,78.2389
636902,Echambadi,11.7121,78.4682
636908,Harur Bazaar,11.7121,78.4682
637001,Ramapurampdur,12.9908,80.2131
637002,Ganesapuram,12.9908,80.2131
637003,Nallipalayam,12.9908,80.2131
637013,Eranipatti,12.6288,79.5732
637017,Palalpatti (Salem),12.6288,79.5732
637023,Pachal,12.2667,78.9333
637026,N Pundupatti,12.2667,78.9333
637101,Idappadi,11.5833,77.85
637202,Elachipalayam,12.056,78.8116
637203,Kadampalayam,12.056,78.8116
637206,Nadandai,12.056,78.8116
637213,Jadarpalayam,12.056,78.8116
637306,Padaiveedu,12.056,78.8116
637402,Belukurichi,11.3833,78.25
637404,Kalappanaickenpatti,11.3833,78.25
637410,Vaiyampatti,10.5333,78.3
637420,T Jedarpalayam,11.3833,78.25
637502,Elampillai,12.056,78.8116
637508,Edangansalai,12.056,78.8116
638008,Agraharam,10.5667,79.7667
638009,Edayankattu Valasu,11.1667,77.6167
638010,Boards Colony,11.1667,77.6167
638011,Erode Collectorate,11.1667,77.6167
638051,Chennimalai,11.1667,77.6167
638058,Ingur,11.1667,77.6167
638110,Gingee,12.25,79.4167
638112,Vadamugam Vellodu,12.25,79.4167
